rr:tableName,uri,dcterms:source,skos:prefLabel,skos:definition
phylogenetic-tree-tip-assertion,http://rs.gbif.org/data-packages/dwc-dp/phylogenetic-tree-tip-assertion,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/phylogenetic-tree-tip-assertion.json,PhylogeneticTreeTipAssertion,An Assertion made by an Agent about a PhylogeneticTreeTip.
phylogenetic-tree-tip,http://rs.gbif.org/data-packages/dwc-dp/phylogenetic-tree-tip,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/phylogenetic-tree-tip.json,PhylogeneticTreeTip,A group of Taxa at the end of a branch of a PhylogeneticTree as determined from relationships between dwc:Organisms.
phylogenetic-tree,http://rs.gbif.org/data-packages/dwc-dp/phylogenetic-tree,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/phylogenetic-tree.json,PhylogeneticTree,A branching diagram that shows the evolutionary relationships between dwc:Organisms.
protocol-citation,http://rs.gbif.org/data-packages/dwc-dp/protocol-citation,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/protocol-citation.json,ProtocolCitation,A citation of a Protocol in a bibliographic reference.
protocol,http://rs.gbif.org/data-packages/dwc-dp/protocol,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/protocol.json,Protocol,A method used during an action.
relationship,http://rs.gbif.org/data-packages/dwc-dp/relationship,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/relationship.json,Relationship,A specification for a relationship of a subject entity to a related entity.
survey-agent-role,http://rs.gbif.org/data-packages/dwc-dp/survey-agent-role,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/survey-agent-role.json,SurveyAgentRole,A role filled by an Agent with respect to a Survey.
survey-assertion,http://rs.gbif.org/data-packages/dwc-dp/survey-assertion,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/survey-assertion.json,SurveyAssertion,An Assertion made by an Agent about a Survey.
survey-citation,http://rs.gbif.org/data-packages/dwc-dp/survey-citation,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/survey-citation.json,SurveyCitation,A citation of a Survey in a bibliographic reference.
survey-identifier,http://rs.gbif.org/data-packages/dwc-dp/survey-identifier,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/survey-identifier.json,SurveyIdentifier,An identifier for a Survey.
survey-protocol,http://rs.gbif.org/data-packages/dwc-dp/survey-protocol,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/survey-protocol.json,SurveyProtocol,A link establishing a Protocol used in a Survey.
survey-target,http://rs.gbif.org/data-packages/dwc-dp/survey-target,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/survey-target.json,SurveyTarget,A specification of a characteristic of dwc:Occurrence that was included or excluded in a Survey.
survey,http://rs.gbif.org/data-packages/dwc-dp/survey,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/survey.json,Survey,A biotic survey.
